"Station Name","LOOKOUT"
"Province","ALBERTA"
"Latitude","51.07"
"Longitude","-115.75"
"Elevation","2621.00"
"Climate Identifier","305A003"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2002-03","2002","03","-10.7","","-18.6","","-14.7","","4.7","","-33.2","","0.0","","119.2","E","119.2","E","","",,"",,""
"2002-04","2002","04","-5.2","","-11.4","","-8.3","","3.9","","-21.7","","0.0","","84.3","E","84.3","E","","",,"",,""
